Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_CW95_CigarettePack_Partyzanka_DESC,"Un paquet de cigarettes de la marque 'Chernamorka'. Le goût est semblable à du foin, mélangé à du compost. Parfait pour cracher ses poumons avec classe et volupté.","Un paquet de cigarettes de la marque 'Chernamorka'. Le goût est semblable à du foin, mélangé à du compost. Parfait pour cracher ses poumons avec classe et volupté.",,,,,,,,"Un paquet de cigarettes de la marque 'Chernamorka'. Le goût est semblable à du foin, mélangé à du compost. Parfait pour cracher ses poumons avec classe et volupté.",,,,,
STR_CW95_ExpansionCircuitBoard_MK1_NAME,Circuit Imprimé - Mk.1,Circuit Imprimé - Mk.1,,,,,,,,Circuit Imprimé - Mk.1,,,,,
STR_CW95_ExpansionCircuitBoard_MK1_DESC,"Un circuit imprimé de qualité médiocre. Ça doit pas valoir grand chose mais bon, faut bien manger, hein?","Un circuit imprimé de qualité médiocre. Ça doit pas valoir grand chose mais bon, faut bien manger, hein?",,,,,,,,"Un circuit imprimé de qualité médiocre. Ça doit pas valoir grand chose mais bon, faut bien manger, hein?",,,,,
STR_CW95_ExpansionCircuitBoard_MK2_NAME,Circuit Imprimé - Mk.2,Circuit Imprimé - Mk.2,,,,,,,,Circuit Imprimé - Mk.2,,,,,
STR_CW95_ExpansionCircuitBoard_MK2_DESC,"Un circuit imprimé de bonne qualité. Si on oublie la fine couche de poussière sur les composants, quelqu'un le rachèterait sûrement.","Un circuit imprimé de bonne qualité. Si on oublie la fine couche de poussière sur les composants, quelqu'un le rachèterait sûrement.",,,,,,,,"Un circuit imprimé de bonne qualité. Si on oublie la fine couche de poussière sur les composants, quelqu'un le rachèterait sûrement.",,,,,
STR_CW95_ExpansionCircuitBoard_MK3_NAME,Circuit Imprimé - Mk.3,Circuit Imprimé - Mk.3,,,,,,,,Circuit Imprimé - Mk.3,,,,,
STR_CW95_ExpansionCircuitBoard_MK3_DESC,"Un circuit imprimé moderne. Bien qu'usé par les intempéries et les bombardements, il semble encore utilisable. Il doit certainement valoir son pesant d'or.","Un circuit imprimé moderne. Bien qu'usé par les intempéries et les bombardements, il semble encore utilisable. Il doit certainement valoir son pesant d'or.",,,,,,,,"Un circuit imprimé moderne. Bien qu'usé par les intempéries et les bombardements, il semble encore utilisable. Il doit certainement valoir son pesant d'or.",,,,,
STR_CW95_ExpansionSilverBar_DESC,"Un lingot d'argent issu de la Banque Centrale Chernare de Chernogorsk, pur à 99,99%. Petit veinard, va. Attention à ne pas se faire coincer avec.","Un lingot d'argent issu de la Banque Centrale Chernare de Chernogorsk, pur à 99,99%. Petit veinard, va. Attention à ne pas se faire coincer avec.",,,,,,,,"Un lingot d'argent issu de la Banque Centrale Chernare de Chernogorsk, pur à 99,99%. Petit veinard, va. Attention à ne pas se faire coincer avec.",,,,,
STR_CW95_ExpansionGoldBar_DESC,"Un lingot d'or pillé de la Banque Centrale Chernare de Chernogorsk, pur à 99,99%. Avec ça, y'a de quoi mettre babushka à l'abri définitivement. À condition de ne pas se faire coincer avec. ","Un lingot d'or pillé de la Banque Centrale Chernare de Chernogorsk, pur à 99,99%. Avec ça, y'a de quoi mettre babushka à l'abri définitivement. À condition de ne pas se faire coincer avec. ",,,,,,,,"Un lingot d'or pillé de la Banque Centrale Chernare de Chernogorsk, pur à 99,99%. Avec ça, y'a de quoi mettre babushka à l'abri définitivement. À condition de ne pas se faire coincer avec. ",,,,,
STR_CW95_ExpansionSilverNugget_DESC,"Une pépite d'argent pur, pillé de la Banque Centrale Chernare de Chernogorsk.","Une pépite d'argent pur, pillé de la Banque Centrale Chernare de Chernogorsk.",,,,,,,,"Une pépite d'argent pur, pillé de la Banque Centrale Chernare de Chernogorsk.",,,,,
STR_CW95_ExpansionGoldNugget_DESC,"Une pépite d'or pur, pillé de la Banque Centrale Chernare de Chernogorsk. Rien de mieux pour courtiser les krasavitsi.","Une pépite d'or pur, pillé de la Banque Centrale Chernare de Chernogorsk. Rien de mieux pour courtiser les krasavitsi.",,,,,,,,"Une pépite d'or pur, pillé de la Banque Centrale Chernare de Chernogorsk. Rien de mieux pour courtiser les krasavitsi.",,,,,
STR_CW95_ExpansionBoltCutters_NAME,Pince MoyGaspadim,Pince MoyGaspadim,,,,,,,,Pince MoyGaspadim,,,,,
STR_CW95_ExpansionBoltCutters_DESC,"L'outil du parfait ferrailleur, aucun métal ne lui résiste. Utile pour découper de la tôle ou les doigts de vos adversaires.","L'outil du parfait ferrailleur, aucun métal ne lui résiste. Utile pour découper de la tôle ou les doigts de vos adversaires.",,,,,,,,"L'outil du parfait ferrailleur, aucun métal ne lui résiste. Utile pour découper de la tôle ou les doigts de vos adversaires.",,,,,
STR_CW95_Expansion_Guitar_NAME,Guitare 'Washburn EA20 Festival 1987' dédicacée,Guitare 'Washburn EA20 Festival 1987' dédicacée,,,,,,,,Guitare 'Washburn EA20 Festival 1987' dédicacée,,,,,
STR_CW95_Expansion_Guitar_DESC,"Cette guitare, bien qu'elle ne soit plus jouable en l'état, est dédicacée par les membres du fameux groupe de rock soviétique Pino. On peut y lire la signature de Viktor Stoï. Nul doute que certains fans vendraient leur mère pour une telle pièce de musée...","Cette guitare, bien qu'elle ne soit plus jouable en l'état, est dédicacée par les membres du fameux groupe de rock soviétique Pino. On peut y lire la signature de Viktor Stoï. Nul doute que certains fans vendraient leur mère pour une telle pièce de musée...",,,,,,,,"Cette guitare, bien qu'elle ne soit plus jouable en l'état, est dédicacée par les membres du fameux groupe de rock soviétique Pino. On peut y lire la signature de Viktor Stoï. Nul doute que certains fans vendraient leur mère pour une telle pièce de musée...",,,,,
STR_CW95_Expansion_Guitar_Old_NAME,Vieille guitare,Vieille guitare,,,,,,,,Vieille guitare,,,,,
STR_CW95_Expansion_Guitar_Old_DESC,Cette guitare est aussi détruite qu'un militaire un jeudi soir à la popote. Autant la transformer d'office en petit bois.,Cette guitare est aussi détruite qu'un militaire un jeudi soir à la popote. Autant la transformer d'office en petit bois.,,,,,,,,Cette guitare est aussi détruite qu'un militaire un jeudi soir à la popote. Autant la transformer d'office en petit bois.,,,,,
STR_CW95_PB_SmallMetalPlate_NAME,Petite tôle,Petite tôle,,,,,,,,Petite tôle,,,,,
STR_CW95_PB_SmallMetalPlate_DESC,"Un matériau de construction basique, utile pour bricoler ou barricader son domicile.","Un matériau de construction basique, utile pour bricoler ou barricader son domicile.",,,,,,,,"Un matériau de construction basique, utile pour bricoler ou barricader son domicile.",,,,,
STR_CW95_MD_TV_NAME,"Télévision ""UltraKanal""","Télévision ""UltraKanal""",,,,,,,,"Télévision ""UltraKanal""",,,,,
STR_CW95_MD_TV_DESC,"Une télévision de marque UltraKanal, le summum de la technologie soviétique... du moins à l'époque. Les composants à l'intérieur ont l'air en bon état., peut-être devriez-vous envisager de la refourguer quelque part ?","Une télévision de marque UltraKanal, le summum de la technologie soviétique... du moins à l'époque. Les composants à l'intérieur ont l'air en bon état., peut-être devriez-vous envisager de la refourguer quelque part ?",,,,,,,,"Une télévision de marque UltraKanal, le summum de la technologie soviétique... du moins à l'époque. Les composants à l'intérieur ont l'air en bon état., peut-être devriez-vous envisager de la refourguer quelque part ?",,,,,
STR_CW95_MD_Radio_NAME,"Poste radio ""MegaYazyk""","Poste radio ""MegaYazyk""",,,,,,,,"Poste radio ""MegaYazyk""",,,,,
STR_CW95_MD_Radio_DESC,"Une radio de marque MegaYazyk. Si on oublie l'antenne branlante, c'est un joli petit produit. Les composants à l'intérieur ont l'air en bon état, peut-être devriez-vous envisager de la refourguer quelque part ?","Une radio de marque MegaYazyk. Si on oublie l'antenne branlante, c'est un joli petit produit. Les composants à l'intérieur ont l'air en bon état, peut-être devriez-vous envisager de la refourguer quelque part ?",,,,,,,,"Une radio de marque MegaYazyk. Si on oublie l'antenne branlante, c'est un joli petit produit. Les composants à l'intérieur ont l'air en bon état, peut-être devriez-vous envisager de la refourguer quelque part ?",,,,,
STR_CW95_MD_OldRadio_NAME,"Poste radio ""SuperUkho""","Poste radio ""SuperUkho""",,,,,,,,"Poste radio ""SuperUkho""",,,,,
STR_CW95_MD_OldRadio_DESC,"Une radio de marque SuperUkho. De fabrication douteuse, cet objet tient plus du tas de bidules assemblés à l'aveugle que d'un véritable poste. Malgré tout, les composants à l'intérieur ont l'air en bon état, peut-être devriez-vous envisager de la refourguer quelque part ?","Une radio de marque SuperUkho. De fabrication douteuse, cet objet tient plus du tas de bidules assemblés à l'aveugle que d'un véritable poste. Malgré tout, les composants à l'intérieur ont l'air en bon état, peut-être devriez-vous envisager de la refourguer quelque part ?",,,,,,,,"Une radio de marque SuperUkho. De fabrication douteuse, cet objet tient plus du tas de bidules assemblés à l'aveugle que d'un véritable poste. Malgré tout, les composants à l'intérieur ont l'air en bon état, peut-être devriez-vous envisager de la refourguer quelque part ?",,,,,
STR_CW95_ITEM_WHISTLE_NAME,Whistle,Whistle,,,,,,,,Sifflet (à bille),,,,,
STR_CW95_ITEM_WHISTLE_DESC,Whistles share with flutes the mechanism of inducing air by beveling to produce sound.,Whistles share with flutes the mechanism of inducing air by beveling to produce sound.,,,,,,,,Les sifflets partagent avec les flûtes le mécanisme d'induction de l'air par biseau pour produire un son.,,,,,
STR_CW95_ITEM_MAPZELENO_NAME,Zelenogorsk Map,,,,,,,,,Carte de Zélénogorsk,,,,,
STR_CW95_ITEM_MAPCHERNO_NAME,Chernogorsk Map,,,,,,,,,Carte de Chernogorsk,,,,,
STR_CW95_ITEM_MAPCHERNOMETRO_NAME,Chernogorsk Metreo Map,,,,,,,,,Carte du métro de Chernogorsk,,,,,
STR_CW95_ITEM_WINDSCREEN_NAME,WindScreen,WindScreen,,,,,,,,Pare-Brise,,,,,
STR_CW95_ITEM_WINDSCREEN_DESC,,,,,,,,,,,,,,,
STR_EXPANSION_AI_FACTION_POLICE,Politsia,Politsia,,,,,,,,Politsia,,,,,
STR_EXPANSION_AI_FACTION_NAPA,NAPA,NAPA,,,,,,,,NAPA,,,,,
STR_EXPANSION_AI_FACTION_MILITAIRE,Forces de Défense Chernare,FDC,,,,,,,,Forces de Défense Chernare,,,,,
STR_EXPANSION_AI_FACTION_MEDECIN,Médecin,Medic,,,,,,,,Médecin,,,,,
STR_EXPANSION_AI_FACTION_POMPIER,Pompier,Pompier,,,,,,,,Pompier,,,,,
STR_EXPANSION_AI_FACTION_MAFIA,Mafia,Mafia,,,,,,,,Mafia,,,,,
STR_EXPANSION_AI_FACTION_FRONTLINE,Frontière,FrontLine,,,,,,,,Frontière,,,,,
STR_EXPANSION_AI_FACTION_CHEDAKI,Chedaki,Chedaki,,,,,,,,Chedaki,,,,,
STR_CW95_ACTIONS_SMOKE,Fumer,Smoke,,,,,,,,Fumer,,,,,
STR_CW95_ACTIONS_WHISTLE,Siffler,Whistle,,,,,,,,Siffler,,,,,
STR_CW95_ACTIONS_FASTFORWARD,Fast Forward,Fast Forward,,,,,,,,Accélérer,,,,,
STR_CW95_ACTIONS_REWIND,Rewind,Rewind,,,,,,,,Rembobiner,,,,,
STR_CW95_ACTIONS_PLAY,Play,Play,,,,,,,,Jouer,,,,,
STR_CW95_ACTIONS_STOP,Stop,Stop,,,,,,,,Stopper,,,,,
STR_CW95_ACTIONS_RESET,Push Reset Button,Push Reset Button,,,,,,,,Appuyer sur le bouton RESET,,,,,
STR_CW95_ACTIONS_VOLUME_UP,Volume UP,Volume UP,,,,,,,,Monter le son,,,,,
STR_CW95_ACTIONS_VOLUME_DOWN,Volume DOWN,Volume DOWN,,,,,,,,Baisser le volume,,,,,
STR_CW95_ACTIONS_KNOCK,Knock,Knock,,,,,,,,Toquer,,,,,
STR_CW95_ACTIONS_DIGHOLE,Dig Hole,Dig Hole,,,,,,,,Creuser un trou,,,,,
STR_CW95_INPUT_VEH_FLARE,Helicopter Flares,Helicopter Flares,,,,,,,,Helicoptère Flares,,,,,
STR_CW95_INPUT_VEH_ROCKET,Helicopter Rockets,Helicopter Rockets,,,,,,,,Helicoptère Roquettes,,,,,
STR_ZEN_LARGETENT0,Large Tent,Large Tent,Velký stan,Großes Zelt,Большая палатка,Duży namiot,Large Tent,Tenda grande,Tienda grande,Grande tente,大型帳篷,大きなテント,Tenda grande,大帐篷,
STR_ZEN_LARGETENT1,"A large military tent. It can house a small unit, along with its equipment.","A large military tent. It can house a small unit, along with its equipment.",Velký vojenský stan. Vleze se do něj menší jednotka včetně vybavení.,Großes Militärzelt. Kann eine kleine Einheit inklusive Ausrüstung beherbergen.,Большая военная палатка. В ней поместится небольшой отряд вместе со всем своим снаряжением.,Duży namiot wojskowy. W środku zmieści się mały oddział z ekwipunkiem.,"A large military tent. It can house a small unit, along with its equipment.","Una grossa tenda militare. Può ospitare una piccola unità, equipaggiamento incluso.",Una gran tienda militar. Puede albergar a una pequeña unidad con su equipo.,Une grande tente militaire. Elle peut accueillir une petite unité et son équipement.,大型軍用帳篷。可以容納一小隊士兵，連同他們的裝備。,大きな軍用テント。小さな部隊が使用できるだけのスペースがあり、さらに部隊の使う道具も置くことができる。,"Uma tenda militar grande. Pode abrigar uma pequena unidade, juntamente com seu equipamento.",一个大型军用帐篷。它能容纳一支小型部队及其装备。,
